sku,product_name,barcode,revenue,quantity,avg_unit_cost,total_cost,gross_margin,margin_pct,match_method,cost_vendor,cost_entries
H-Brown,Hellgrammite - Brown,,12.0,3,74.2,222.6,-210.6,-1755.0,exact_name,EuroTackle,1
BMBB-BB,Brawler Bug 3.5 - Bottom Blue,,11.18,2,140.0,280.0,-268.82,-2404.5,exact_name,Monster Fish Outdoors,1
BMLARDRLGD,Liz-ARD RL - Goldman Duster,,11.18,2,131.25,262.5,-251.32,-2247.9,exact_name,Monster Fish Outdoors,1
BMBWC-RFM,Baby Swiss Chunk - Red Flake Magic,,11.18,2,147.5,295.0,-283.82,-2538.6,exact_name,Monster Fish Outdoors,1
RCC-BBG,RC Craw - Black Blue Glitter,,10.77,3,693.9,2081.7,-2070.93,-19228.7,fuzzy_name,V&M,5
RCC-WR,RC Craw - Watermelon Red,,10.77,3,693.9,2081.7,-2070.93,-19228.7,fuzzy_name,V&M,5
CB-6,Create A Bait - Seeker 6 Blank,,10.0,2,225.0,450.0,-440.0,-4400.0,fuzzy_name,Weihai Runten Industrial Limited,8
A-Bluegill,Anisoptera - Bluegill Pro,,8.0,2,74.2,148.4,-140.4,-1755.0,exact_name,EuroTackle,1
T20573,Rebel Poppin Minnow - Moon Spot,20554072520,7.99,1,351.0,351.0,-343.01,-4293.0,fuzzy_name,Pradco Outdoors Brands,3
BMLARDXLTM$,Liz-ARD XL - Tennessee Money,,7.82,2,261.25,522.5,-514.68,-6581.6,exact_name,Monster Fish Outdoors,1
RCC-OC,RC Craw - Okeechobee Craw,,7.18,2,693.9,1387.8,-1380.62,-19228.7,fuzzy_name,V&M,5
BGBS390-18,Baby Shad,,7.0,2,123.0,246.0,-239.0,-3414.3,fuzzy_name,Pradco Outdoors Brands,1
784196805082,Ghillie grub - Green Pumpkin,784196805082,6.59,1,1015.0,1015.0,-1008.41,-15302.1,UPC,3 Brothers Baits LLC,1
784196806553,Ghillie grub - Black Blue,784196806553,6.59,1,1015.0,1015.0,-1008.41,-15302.1,UPC,3 Brothers Baits LLC,1
725414386389,Ghillie grub - Kiwi Skin,725414386389,6.59,1,1015.0,1015.0,-1008.41,-15302.1,UPC,3 Brothers Baits LLC,1
BMBSW-M,Shooter Worm - Merthiolate,,5.59,1,257.5,257.5,-251.91,-4506.4,exact_name,Monster Fish Outdoors,2
BMSC-AC,Shooter Craw - Alabama Craw,,5.59,1,161.25,161.25,-155.66,-2784.6,exact_name,Monster Fish Outdoors,2
BMBSW-PM,Shooter Worm - Plum Magic,,5.59,1,220.0,220.0,-214.41,-3835.6,exact_name,Monster Fish Outdoors,2
BMBMB-PM,BM Bug - Plum Magic,,5.59,1,230.0,230.0,-224.41,-4014.5,exact_name,Monster Fish Outdoors,1
BMBWC-TG,Baby Swiss Chunk - Tilapia Gold,,5.59,1,258.75,258.75,-253.16,-4528.8,exact_name,Monster Fish Outdoors,1
BMLARDRLGL,Liz-ARD RL - Green Lizzer,,5.59,1,103.75,103.75,-98.16,-1756.0,exact_name,Monster Fish Outdoors,1
10405,Punisher,,5.0,1,523.0,523.0,-518.0,-10360.0,fuzzy_name,VRX Fishing Products,1
FA-DarkRage,Fat Asassin - Dark Rage,,4.0,1,74.2,74.2,-70.2,-1755.0,exact_name,EuroTackle,1
FA-GreenPumpkin,Fat Asassin - Green Pumpkin,,4.0,1,74.2,74.2,-70.2,-1755.0,exact_name,EuroTackle,1
A-Brown,Anisoptera - Brown,,4.0,1,74.2,74.2,-70.2,-1755.0,exact_name,EuroTackle,1
