sku,product_name,barcode,revenue,quantity,avg_unit_cost,total_cost,gross_margin,margin_pct,match_method,cost_vendor,cost_entries
kids-0925-old,Create A Bait - Kid's Fishing Kit: September 2025 OLD,,289.9,14,225.0,3150.0,-2860.1,-986.6,fuzzy_name,Weihai Runten Industrial Limited,8
Ragnar-34,Ragnar - Ghost Sexy,,285.78,22,228.0,5016.0,-4730.22,-1655.2,exact_name,Weihai Runten Industrial Limited,1
S6-66,Seeker 6 - Snacks,,285.46,34,163.8,5569.2,-5283.74,-1851.0,exact_name,Weihai Runten Industrial Limited,1
S12-16,Seeker 12 - Chrome Threadfin,,283.88,34,163.8,5569.2,-5285.32,-1861.8,exact_name,Weihai Runten Industrial Limited,1
S6-6,Seeker 6 - Blue Chrome,,280.51,34,163.8,5569.2,-5288.69,-1885.4,exact_name,Weihai Runten Industrial Limited,1
SSS99-70,Slick Stick 99 Suspending Jerkbait - Purple Haze,,270.79,32,1455.0,46560.0,-46289.21,-17094.1,fuzzy_name,Ark Fishing International,4
TMM-23,Money Maker - Crawlicious,810103812741,270.0,30,440.0,13200.0,-12930.0,-4788.9,UPC,Weihai Runten Industrial Limited,1
GDT-6-WMR,"Dart 6"" - Watermelon Red Flake",,259.21,49,672.0,32928.0,-32668.79,-12603.2,exact_name,A.N.E Wholesale,1
MD-STICKER,MONSTER/BASS Sticker,,258.0,138,254.0,35052.0,-34794.0,-13486.0,fuzzy_name,"Heyuan Boyue Color Printing Co.,Ltd",2
S12-74,Seeker 12 - Citrus Shad,,252.87,30,163.8,4914.0,-4661.13,-1843.3,exact_name,Weihai Runten Industrial Limited,1
Ragnar-35,Ragnar - Ghost Shad,,249.82,20,228.0,4560.0,-4310.18,-1725.3,exact_name,Weihai Runten Industrial Limited,1
J110SP-15,Suspending Jerkbait - Pro Blue,,239.76,24,1455.0,34920.0,-34680.24,-14464.6,fuzzy_name,Ark Fishing International,4
Ragnar-56,Ragnar - Silver Shiner,,233.82,18,228.0,4104.0,-3870.18,-1655.2,exact_name,Weihai Runten Industrial Limited,1
