sku,product_name,barcode,revenue,quantity
MB-ROLLO6-SBSHAD,Rollo 6 - Silverback Shad,656750687376,992.24,115
MB-SEEKER6-BUNDLE,April's Mystery 6 Pack of Baits,,982.6,32
platinum-paid-monthly-6,Platinum Monthly Pass - Bass / 6 Months,,973.75,25
B8-USS-BUNDLE,B8LAB Ultimate Strike Shad Bundle,,967.25,47
FTB3S610ML,"13 Fishing Fate Black Rod - 6'10"" ML Spinning Rod",,959.88,12
B8-USS-LPERCH,Ultimate Strike Shad - Lazer Perch,,957.65,107
TH-A10-3,A10 Square Bill - 3 Pack,,944.0,36
PT-PF2,2026 Popping Frog - Product Testing - Yellow,8 53514 000987,943.95,105
MB-HAT-MB-ORANGE-BLK,The OG,,940.0,47
CH-QRY-BL-M,MONSTERBASS Nation Hat - Gray,,938.75,103
gold-1025,Gold Monthly: October 2025 - 1 Month,,934.86,28
MB-TPP-CR,Tungsten Pro Pack - Carolina Rig,656750687253,926.0,125
MB-AMZ-MULTI,"MONSTERBASS Mystery Fishing Tackle Box - Multi-Species Fishing Tackle Box with Professional Bass, Panfish, Trout, and Pike Lures, Premium Fishing Gifts for Men & Freshwater Anglers",,919.77,23
mb-subscription-230110,November 2023 - Platinum Series,,912.0,24
INCISION-7,Incision 69mm Lipless Crankbait - Blue Chrome,,911.25,105
PATRIOT-20,The Patriot v3.0 - Cracked,,909.7,88
HOPPER55-FLDCRT,Hopper 55 - Field Cricket,,908.7,130
B8-JB-WHITE,Holo ShineR - Bone,,903.95,101
112-HG-FLAG,Stars & Stripes Hat,,900.0,38
ULTIMATE-ICE,The Ultimate ICE Fishing Kit,,900.0,15
MB720TT,"David Dudley Signature Series Rods - Spinning: 7'2"" Medium",,900.0,10
mb-subscription-23706,Weekend Warriors Tackle Box,,899.0,31
POP-106-AMIGOWOOD-MINT-2,10'6 Amigo Wood - Geometric,850054425140,899.0,1
B8-JB-PURPLE,Holo ShineR - Grape,,895.0,100
MB-HHEAD-BGILL,Hammerhead Squarebill – Alex Rudd Edition - Bluegill,656750686140,889.16,99
PATRIOT-11,The Patriot v3.0 - Bone,,883.76,86
BURNERC-38-2,Blade Burner | Colorado Spinnerbait - Chartreuse/White,,883.66,106
BMB02FA527,Bomber Flat A - Muddy Craw,,880.72,128
TCVSJ12-465,Strike King Thunder Cricket - 1/2 oz / Green Pumpkin,,879.33,67
