Rank,SKU,Product_Name,Product_Type,Vendor,Revenue,Quantity,Avg_Price,Order_Count,Current_Price,Current_Inventory,Status
153,platinum-0624,Platinum Bonus Box,Tackle Bundle,,4053.38,88,46.06,85,,,
154,MBV-3600,"The Vault | 3600, 3700, Spinnerbait, Crankbait & Jig/Chatterbait boxes - 3600",Tackle Bags & Boxes,MONSTERBASS,4051.5,265,15.29,111,15.95,410,ACTIVE
155,MB-AMZ-TOP,Topwater Blowup Box,Subscription Box,MONSTERBASS,4010.0,111,36.13,106,36.00,200,ARCHIVED
156,silver-1025,Silver Monthly: October 2025,Subscription Box,,3991.71,194,20.58,193,,,
157,multi-0825,Platinum - Bass & Panfish 3 Month: August 2025,Subscription Box,,3990.19,219,18.22,218,,,
158,MB-3700-DEEP,Monsterbox 3700 Deep,Tackle Bags & Boxes,MONSTERBASS,3942.0,267,14.76,163,15.00,93,ACTIVE
159,mb-subscription-23600,Big Bass Bait Box,Subscription Box,MONSTERBASS,3914.0,103,38.0,95,38.00,0,ARCHIVED
160,silver-0925,Silver Monthly: September 2025,Subscription Box,,3814.0,185,20.62,184,,,
161,MB-AMZ-RPS,Amazon Platinum Box,Subscription Box,MONSTERBASS,3799.05,95,39.99,88,38.00,214,ACTIVE
162,multi-0125,Platinum - Bass & Panfish Monthly: January 2025,Subscription Box,,3790.5,166,22.83,166,,,
163,silver-1125,Silver Monthly: November 2025,Subscription Box,,3775.04,183,20.63,182,,,
164,multi-0225,Platinum - Bass & Panfish 3 Month: February 2025,Subscription Box,,3763.0,163,23.09,163,,,
165,KIT-WACKY,The 61-Piece MONSTERBASS Wacky/Neko Rig Kit – Master the Finesse Game! 🎯,Technique Specific Kit,MONSTERBASS,3726.0,58,64.24,58,59.00,0,ARCHIVED
166,KIT-TEXAS,64 Piece Texas Rig Kit,Tackle Bundle,MONSTERBASS,3699.26,74,49.99,74,49.99,0,ARCHIVED
167,BB-110JERK-4,Banger 110 - 4 Pack,Tackle Bundle,Parts Unknown,3654.79,158,23.13,154,32.00,-20,ARCHIVED
168,mb-subscription-23100,LUNKERHUNT Takeover Box,Subscription Box,MONSTERBASS,3534.0,93,38.0,84,38.00,0,ACTIVE
169,MBC-470MFC,LUNKERSTICK - Casting: 7' Medium - Moderate Fast,Fishing Rod,MONSTERBASS,3497.75,26,134.53,26,129.95,0,ACTIVE
170,BL-BUZZ-3,Buzz Frog - 3 Pack,Topwater,Blitz Lures,3455.0,194,17.81,180,20.00,132,ARCHIVED
171,ABA-welcome,ABA Welcome Box,Welcome Box,Army Bass Anglers,3400.0,85,40.0,56,40.00,25,ACTIVE
172,LB-C,DEBO's Little Banger - Crappie,Squarebill,MONSTERBASS,3377.12,338,9.99,281,9.00,0,ACTIVE
173,platinum-1024,Platinum - Bass Every Other Month: October 2024,Subscription Box,MONSTERBASS,3371.99,498,6.77,497,39.00,0,ARCHIVED
174,BURNERC-38-7,Blade Burner | Colorado Spinnerbait - LIMITED EDITION: Grape Ape,Spinnerbaits,MONSTERBASS,3367.21,377,8.93,279,8.00,399,ACTIVE
175,SK-BOX3,Strike King Topwater Blowup Box,Tackle Bundle,Strike King,3355.0,86,39.01,83,39.00,0,ARCHIVED
176,mb-subscription-230100,The Best Fishing Subscription Box (that's not a subscription),Subscription Box,MONSTERBASS,3268.0,86,38.0,79,39.95,0,ARCHIVED
177,OB3C76MH-K,"Omen Black Casting Rod - 7'6"" MH Casting Rod",Fishing Rod,13 Fishing,3258.82,26,125.34,26,129.95,24,ACTIVE
178,winter-pass,Season Pass,,,3245.0,22,147.5,22,,,
179,LB-CB,Little Banger - Crackle Bluegill,Squarebill,MONSTERBASS,3239.64,330,9.82,265,9.00,29,ACTIVE
180,platinum-0724-old,Pond Hopper Bait Box,Tackle Bundle,MONSTERBASS,3157.0,77,41.0,69,41.00,85,DRAFT
181,BB-110JERK-CBB,Banger 110 - Chrome Black Back,Jerkbaits,Bruiser Baits,3155.49,351,8.99,68,8.99,387,ACTIVE
182,FTB3C73M,"13 Fishing Fate Black Rod - 7'3"" M Casting Rod",Fishing Rod,13 Fishing,3119.61,39,79.99,30,79.99,15,ACTIVE
183,304-006,Hi-Def Craw,Craws & Creatures,Tackle HD,3032.52,768,3.95,544,6.99,645,ACTIVE
184,SK-BOX1,Strike King 6-Pack Soft Bait Bundle,Tackle Bundle,Strike King,3000.0,100,30.0,97,30.00,53,ACTIVE
185,silver-0125,Silver Monthly: January 2025,Subscription Box,MONSTERBASS,2975.0,149,19.97,148,20.00,0,ACTIVE
186,FTB3C73MH,"13 Fishing Fate Black Rod - 7'3"" MH Casting Rod",Fishing Rod,13 Fishing,2959.63,37,79.99,29,79.99,8,ACTIVE
187,FTB3C71M,"13 Fishing Fate Black Rod - 7'1"" M Casting Rod",Fishing Rod,13 Fishing,2959.63,37,79.99,33,79.99,0,ACTIVE
188,platinum-quarterly,Platinum Series : Quarterly,Subscription Box,MONSTERBASS,2888.0,76,38.0,76,38.00,1000879,DRAFT
189,season-pass-platinum,The Season Pass - Large,,MONSTERBASS,2880.0,7,411.43,7,480.00,-12,ACTIVE
190,CBJH12-17,Member Exclusive: Berkley Warpig Lipless,Bladed Jigs,Z-Man Fishing Products,2785.32,228,12.22,157,15.99,0,ACTIVE
191,silver-1024,Silver Monthly: October 2024,Subscription Box,MONSTERBASS,2764.78,145,19.07,142,20.00,0,ARCHIVED
192,PROSTAFF-0624,Platinum: ProStaff,InternalUseOnly,,2736.0,72,38.0,72,,,
193,platinum-paid-monthly-12,Platinum Monthly Pass - Bass / 12 Months,Subscription Box,MONSTERBASS,2694.45,71,37.95,70,37.95,-282,ACTIVE
194,KIT-NED,41 Piece Ned Rig Kit,Tackle Bundle,MONSTERBASS,2691.0,69,39.0,68,39.00,0,ARCHIVED
195,SK-BOX2,Strike King Bass Bundle,Tackle Bundle,Strike King,2660.0,70,38.0,69,38.00,54,ACTIVE
196,platinum-paid-monthly,Platinum Monthly Pass - Bass / 1 Month,Subscription Box,MONSTERBASS,2655.56,79,33.61,79,41.95,-146,ACTIVE
197,silver-1124,Silver Monthly: November 2024,Subscription Box,,2620.0,131,20.0,129,,,
198,Platinum-0825-old,Bank Fishing Blowup Box,Tackle Bundle,MONSTERBASS,2608.0,58,44.97,55,40.00,0,ARCHIVED
199,CV2-KB-BM,"Cobra V2.0 Spinnerbait, Kunai Blade - Blue Magic",Spinnerbaits,American Snakehead Customs LLC,2603.22,221,11.78,181,11.99,498,ACTIVE
200,Rapt95FinCyaGrStd,9.5ft Raptor Modular Fin Drive Pedal Fishing Kayak | 380lbs Capacity | 2 Piece - Cyan Gray / in 1 - 2 weeks,Kayaks,ReelYaks,2548.0,2,1274.0,2,1399.00,32,ACTIVE
201,CV2-KB-SF,"Cobra V2.0 Spinnerbait, Kunai Blade - Snek Flash",Spinnerbaits,American Snakehead Customs LLC,2489.16,213,11.69,161,11.99,131,ACTIVE
202,CV2-SF-KB-F,"Cobra V2.0 Spinnerbait, Kunai Blade - Flamingo",Spinnerbaits,American Snakehead Customs,2481.09,291,8.53,206,11.99,678,ACTIVE
203,PLABW361J,Plano Weekend Series 3600 Tackle Bag,Tackle Bags & Boxes,Plano,2466.9,62,39.79,55,39.95,17,ACTIVE
204,KIT-TOKYO,⚡ Take Cover. Take Control. The 41-Piece MONSTERBASS Tokyo Rig Kit! ⚡,Technique Specific Kit,MONSTERBASS,2445.0,43,56.86,43,49.00,11,ACTIVE
