Rank,SKU,Product_Name,Product_Type,Vendor,Revenue,Quantity,Avg_Price,Order_Count,Current_Price,Current_Inventory,Status
443,GB-76,GRASSBURNER - Chartreuse & White,Buzzbaits,MONSTERBASS,774.0,43,18.0,35,18.00,105,ACTIVE
444,multi-0924,Platinum - Bass & Panfish 3 Month: September 2024,Subscription Box,MONSTERBASS,772.95,76,10.17,76,39.00,0,ARCHIVED
445,SB-10,SquareBanger - Bluegill,Squarebill,MONSTERBASS,770.73,93,8.29,76,8.00,43,ACTIVE
446,112P-CAMO-FLAG,Stars & Stripes Camo,Hats,MONSTERBASS,768.0,32,24.0,17,25.00,0,ARCHIVED
447,FLATLINE-22,Flatline - Candy Apple Craw,Squarebill,MONSTERBASS,767.84,94,8.17,64,8.00,170,ACTIVE
448,BB-38,Vibemaster Blade Bait - Gold Dust,Blade Baits & Spoons,MONSTERBASS,760.0,95,8.0,54,8.00,82,ACTIVE
449,QT-SWB-LGSILVER,Large Switch Blade - Silver,Blade Baits & Spoons,Queen Tackle,755.06,320,2.36,97,3.99,0,ACTIVE
450,MM-46,Mad Max v3.0 - Money Gill,Topwater,MONSTERBASS,753.46,88,8.56,72,8.00,0,ARCHIVED
451,gold-0724,July 2024 - Gold,Subscription Box,MONSTERBASS,750.0,30,25.0,28,26.00,0,ARCHIVED
452,MISC-XRM,March's Mystery Jerkbait,Unclassified,Reaction Strike,748.5,150,4.99,142,8.00,450,ACTIVE
453,QT-SWB-LGGOLD,Large Switch Blade - Gold,Blade Baits & Spoons,Queen Tackle,747.64,320,2.34,117,3.99,187,ACTIVE
454,KF-FREAK-INDIGLO,KCL Freak 1.5 Squarebill - Indiglo Bone,Squarebill,Kingfisher Custom Lures,743.89,89,8.36,81,8.00,372,ACTIVE
455,SB-54,SquareBanger - Sexy Cracks,Squarebill,MONSTERBASS,742.69,89,8.34,68,8.00,75,ACTIVE
456,PATRIOT-3,The Patriot v3.0 - Black Mamba,Walking Baits,MONSTERBASS,738.81,72,10.26,52,10.00,16,ACTIVE
457,sku-51979285430588,"**NEW** Heater Body Suit Xtreme Realtree Edge - Large (5'8"" - 6')",Clothing,Killz Products,738.0,2,369.0,2,369.00,183,ACTIVE
458,MB-TFJ-38-BB,Tungsten Football Jig - Black & Blue,Football Jigs,MONSTERBASS,736.8,125,5.89,74,6.00,116,ACTIVE
459,mb-subscription-230106,October 2023 - Gold Series,Subscription Box,MONSTERBASS,734.0,25,29.36,25,26.00,0,ARCHIVED
460,QT-SWB-LGBLACK,Large Switch Blade - Black,Blade Baits & Spoons,Queen Tackle,730.74,311,2.35,110,3.99,245,ACTIVE
461,JLEESP30,Jordan Lee Spinning Reel,Fishing Reel,Abu G,729.6,8,91.2,7,99.95,0,ARCHIVED
462,VF-JERK100-BLKJACK,Herky Jerky - Black Jack,Jerkbaits,Vicious Fishing,727.28,82,8.87,77,8.99,0,ACTIVE
463,LH-Bundle1,Lunkerhunt Topwater Extravaganza,Tackle Bundle,Lunkerhunt,720.0,20,36.0,18,36.00,0,DRAFT
464,misc-zgoat,July's Member Exclusive Z-Man Baits,,,717.6,240,2.99,225,,,
465,PATRIOT-24,The Patriot v3.0 - LIMITED EDITION: Creamsicle,Walking Baits,MONSTERBASS,716.75,57,12.57,47,12.00,81,ACTIVE
466,mb-ragnar-ss,July's Member Exclusive Topwater Bait,Unclassified,,712.81,119,5.99,118,,,
467,FJ6,Hendrix Fishing Voodoo Frog - Green,Frogs,Hendrix Fishing,711.75,65,10.95,38,7.00,0,ACTIVE
468,BDTRK303,Rackit Squarebill,Squarebill,Bandit,711.11,89,7.99,84,7.99,0,DRAFT
469,BB-DEF-CBB,Defender Squarebill - Chartreuse Black Back,Squarebill,Bruiser Baits,709.22,79,8.98,5,8.99,0,ARCHIVED
470,HOPPER55-GRSHPR,Hopper 55 - Grasshopper,Popper,Raptor Lures,708.58,142,4.99,3,4.99,0,ARCHIVED
471,MB-GCARD-50,Gift Cards - $50 Gift Card,Gift Card,MONSTERBASS,700.0,14,50.0,14,50.00,99963,ACTIVE
472,SB-14,SquareBanger - Chartreuse Black Back,Squarebill,MONSTERBASS,695.76,84,8.28,57,8.00,80,ACTIVE
473,BB-22,Vibemaster Blade Bait - Red Craw,Blade Baits & Spoons,MONSTERBASS,688.0,86,8.0,48,8.00,98,ACTIVE
474,BURNERD-12-1,Blade Burner | Double Willow Spinnerbait - 1/2oz / Chad Spawn,Spinnerbaits,MONSTERBASS,687.0,79,8.7,62,8.00,0,ACTIVE
475,GP-PROTECT-4,Guaranteed Shipping Protection - Level 4,Protection,MONSTERBASS,686.0,140,4.9,132,4.90,-154,ACTIVE
476,MB-TFJ-38-PBJ,Tungsten Football Jig - Peanut Butter & Jelly,Football Jigs,MONSTERBASS,682.5,114,5.99,69,6.00,25,ACTIVE
477,CL-BONE-L,UV Moisture Wicking Sunshirt - L,UV Protection,MONSTERBASS,679.0,24,28.29,23,25.00,0,ARCHIVED
478,MB-SHHEAD-PERP,Hammerhead Squarebill – Alex Rudd Edition - Perp,Squarebill,MONSTERBASS,676.07,80,8.45,65,8.00,0,ARCHIVED
479,MBVJ-3700,The Vault - Jig & Bladed Jig Box,Tackle Bags & Boxes,MONSTERBASS,673.75,26,25.91,24,25.95,121,ACTIVE
480,VF-CRANK4-BLUE,MC65 Series 4 - Bluegill,Crankbaits,Vicious Fishing,672.27,75,8.96,71,8.99,0,ACTIVE
481,silver-0325-old,Z-Man JackHammer Finesse Box,Tackle Bundle,MONSTERBASS,672.0,28,24.0,25,24.00,-1,ACTIVE
482,INCISION-30,Incision 69mm Lipless Crankbait - Ghost Blue,Lipless Crankbait,MONSTERBASS,664.05,76,8.74,64,8.00,137,ACTIVE
483,MB-LL68-CMONSTER,Incision 69 Lipless - Craw Monster,Lipless Crankbait,MONSTERBASS,663.43,77,8.62,19,8.99,0,ARCHIVED
484,MM-45,Mad Max v3.0 - Midnight Run,Topwater,MONSTERBASS,661.58,78,8.48,65,8.00,0,ARCHIVED
485,DEW-45-XL,THE Tee (L-XL) - XL,Apparel,MONSTERBASS,660.0,33,20.0,32,20.00,0,ARCHIVED
486,MB-HAT-112-RETROBLACK,Retro Logo Hat,Hats,MONSTERBASS,660.0,33,20.0,33,20.00,0,ARCHIVED
487,sku-46021792530688,Cowboy Bull Cutter Knives – Custom Handmade Damascus Steel Blade,cowboy belt knives,Texan Knives,660.0,6,110.0,6,110.00,0,ARCHIVED
488,MB-MCRANK-46-CRACKED,Seeker 6 v1.0 - Cracked,Crankbaits,,659.24,88,7.49,29,,,
489,INCISION-39,Incision 69mm Lipless Crankbait - Green Gill,Lipless Crankbait,MONSTERBASS,658.9,75,8.79,66,8.00,35,ACTIVE
490,Ragnar-11,Ragnar - Bone,Walking Baits,MONSTERBASS,655.58,53,12.37,36,10.00,0,ARCHIVED
491,60,Hendrix Fishing Voodoo Frog - White,Frogs,Hendrix Fishing,655.2,62,10.57,34,7.00,420,ACTIVE
492,MM-40,Mad Max v3.0 - Green Sexy,Topwater,MONSTERBASS,654.49,76,8.61,61,8.00,0,ARCHIVED
493,FLATLINE-23,Flatline - Crawlicious,Squarebill,MONSTERBASS,652.95,81,8.06,52,8.00,181,ACTIVE
494,MBVS-3700,The Vault - Crankbait & Jerkbait Box,Tackle Bags & Boxes,MONSTERBASS,647.8,25,25.91,22,25.95,359,ACTIVE
495,MBVCB-3700,The Vault - Spinnerbait Box,Tackle Bags & Boxes,MONSTERBASS,647.8,25,25.91,24,25.95,391,ACTIVE
496,LH-Bundle3,Lunkerhunt Hard Bait Bundle,Tackle Bundle,Lunkerhunt,640.0,22,29.09,21,30.00,0,ARCHIVED
497,CSPS,"Custom Speed Stick 6'10"" Casting - Soft Plastic Rod",,,639.96,4,159.99,2,,,
498,TS115-4,Ark Topwater Slider - 4 Pack,Tackle Bundle,Ark Fishing,639.7,25,25.59,25,29.95,110,DRAFT
499,TMM-35,Money Maker - Ghost Shad,Crankbaits,MONSTERBASS,639.0,71,9.0,44,9.00,8,ACTIVE
500,MM-7,Mad Max v3.0 - Blue Chrome,Topwater,MONSTERBASS,638.54,75,8.51,62,8.00,0,ARCHIVED
501,VF-FROG-4,Vicious Pad Runner 4 Pack,Frogs,Vicious Fishing,637.46,25,25.5,24,26.97,61,ACTIVE
502,STICKER-RDF,I'd Rather Be Fishing Sticker,Stickers,MONSTERBASS,636.0,318,2.0,40,2.00,0,ARCHIVED
503,BURNERD-38-5,Blade Burner | Double Willow Spinnerbait - 3/8oz / Sexy Cracks,Spinnerbaits,MONSTERBASS,631.6,76,8.31,55,8.00,0,ACTIVE
504,MB-LL68-BCHROME,Incision 69 Lipless - Blue Chrome,Lipless Crankbait,MONSTERBASS,630.67,73,8.64,18,8.99,0,ARCHIVED
505,SS4500-GM-DEW-XL,"Limited Edition MB Hoodie (L, XL, 3X) - XL",Hoodies & Outerwear,MONSTERBASS,630.0,18,35.0,17,30.00,0,ARCHIVED
506,ICBM120/08,River2Sea ICBM Glide Bait - Bone,Swimbaits,River2Sea,625.9,80,7.82,60,7.99,0,ARCHIVED
507,1701-01,GRANDEBASS Sticker,Stickers,GRANDEBASS,616.0,308,2.0,31,2.00,1519,ACTIVE
508,INDIANA-1,Hoosier Daddy - Chad Spawn,Spinnerbaits,MONSTERBASS,616.0,77,8.0,56,8.00,69,ACTIVE
509,GB-59,GRASSBURNER - Shad,Buzzbaits,MONSTERBASS,612.0,34,18.0,22,18.00,78,ACTIVE
510,SRW01F65-6,Bucket Get'R Frog - Jack,Frogs,Bucketmouth Brand,611.53,75,8.15,47,7.00,145,ACTIVE
511,MB-MCRANK-8-TSHAD,Seeker 8 - Threadfin Shad,Crankbaits,MONSTERBASS,609.81,71,8.59,11,8.99,0,ARCHIVED
512,BURNERD-12-6,Blade Burner | Double Willow Spinnerbait - 1/2oz / White/White,Spinnerbaits,MONSTERBASS,609.0,73,8.34,36,8.00,115,ACTIVE
513,MB-NEDEWG-BLKBL-316,Sabertooth EWG Ned Heads - 3/16oz / Black & Blue,Jigs,MONSTERBASS,605.36,184,3.29,89,3.29,0,ARCHIVED
514,BMB-DS-1,Donkey Snacks - White,Frogs,Bucketmouth Brand,602.8,76,7.93,76,7.00,8,ACTIVE
515,799787440283,Loaded Dice - Root Beer,Finesse Baits,3 Brothers Baits,597.54,46,12.99,45,12.99,44,ACTIVE
516,MB-TFW-34-2,Tungsten Flipping Weights - 3/4oz - 2 pack,Tungsten,MONSTERBASS,595.0,70,8.5,48,8.50,0,ARCHIVED
517,6965525_8749,MONSTER/BASS Trucker Cap - Brown/ Khaki,Hats,MONSTERBASS.,594.0,27,22.0,26,25.00,9972,ACTIVE
518,BB-BDAWG-CRAW,Bruiser Cruiser Crankbait - Craw,Crankbaits,Bruiser Baits,593.34,66,8.99,14,8.99,111,ACTIVE
519,MB-HHEAD-SUNNYB,Hammerhead – Alex Rudd Edition - Sunny B,Squarebill,MONSTERBASS,592.55,66,8.98,45,8.00,0,ARCHIVED
520,STICKER-KC,Keep Cranking Sticker,Stickers,MONSTERBASS,590.0,295,2.0,13,2.00,0,ARCHIVED
521,BB1-HCCW,Balsa B Squarebill - Hot Claw Crawdad,Squarebill,Bagley,587.05,59,9.95,21,9.95,0,ARCHIVED
522,60204,Buzz Frog - Brown Rattler,Topwater,Blitz Lures,584.53,74,7.9,56,6.00,0,ARCHIVED
523,gold-1125,Gold Monthly: November 2025 - 1 Month,Subscription Box,,582.92,20,29.15,20,,,
524,sticker-rockon,Fish On,Stickers,MONSTERBASS,582.0,291,2.0,16,2.00,0,ARCHIVED
525,MB-TPP-TFP-38,Tungsten Pro Pack - Texas Rig / Flipping - 3/8oz,Tungsten,MONSTERBASS,578.0,77,7.51,61,8.00,124,ACTIVE
526,S6-8,Seeker 6 - Blue Craw,Crankbaits,MONSTERBASS,577.42,70,8.25,64,8.00,106,ACTIVE
527,GB-11,GRASSBURNER - Bone,Buzzbaits,MONSTERBASS,576.0,32,18.0,23,18.00,85,ACTIVE
528,CBSB12-05,Jack Hammer Stealth Blade - Spot Remover / 1/2oz,Bladed Jigs,Z-Man Fishing Products,575.89,36,16.0,21,15.99,122,ACTIVE
529,SMX101HPT.BX2,Smoke X 100 Hpt LH Baitcast Reel 8+1,Fishing Reel,Quantum,574.94,6,95.82,5,99.99,0,DRAFT
530,RLHG-MISC,The Hand Grenade,Topwater,Raptor Lures,573.8,34,16.88,30,15.99,0,ARCHIVED
531,OLS731M30,OL' Salty Spinning Combo - Ol' Salty 7'3 Medium spinning combo w/ 3000 Reel,Rod & Reel Combo,Favorite Fishing,569.95,5,113.99,5,149.99,663,ACTIVE
532,MB-LL68-CRAWLIC,Incision 69 Lipless - Crawlicious,Lipless Crankbait,MONSTERBASS,568.94,66,8.62,11,8.99,0,ARCHIVED
533,I62-22,Incision 62 Lipless Crankbait - Candy Apple Craw,Lipless Crankbait,MONSTERBASS,568.0,71,8.0,57,8.00,0,ACTIVE
534,I62-7,Incision 62 Lipless Crankbait - Blue Chrome,Lipless Crankbait,MONSTERBASS,568.0,71,8.0,55,8.00,0,ACTIVE
535,I62-54,Incision 62 Lipless Crankbait - Sexy Cracks,Lipless Crankbait,MONSTERBASS,568.0,71,8.0,60,8.00,0,ACTIVE
536,I62-38,Incision 62 Lipless Crankbait - Gold Dust,Lipless Crankbait,MONSTERBASS,568.0,71,8.0,60,8.00,0,ACTIVE
537,MB-JERKBAIT-PERCH,The Original Slick Stick 110 Jerkbait,Jerkbaits,MONSTERBASS,568.0,71,8.0,66,8.00,0,ARCHIVED
538,MB-TFJ-38-CAMOC,Tungsten Football Jig - Camo Craw,Football Jigs,MONSTERBASS,567.0,95,5.97,62,6.00,188,ACTIVE
539,BURNERD-12-3,Blade Burner | Double Willow Spinnerbait - 1/2oz / Morning Dawn,Spinnerbaits,MONSTERBASS,560.0,68,8.24,37,8.00,24,ACTIVE
540,ICBM120/04,River2Sea ICBM Glide Bait - Mullet Shad,Swimbaits,River2Sea,559.39,61,9.17,26,7.99,0,ARCHIVED
541,FGLT404,Froglet - Bluegill,Topwater,Lunkerhunt,558.0,62,9.0,3,9.00,0,ARCHIVED
542,TMM-39,Money Maker - Green Gill,Crankbaits,MONSTERBASS,558.0,62,9.0,36,9.00,28,ACTIVE
543,SB-22,SquareBanger - Candy Apple Craw,Squarebill,MONSTERBASS,557.78,67,8.33,55,8.00,84,ACTIVE
544,silver-0825-old,The Shoreline Strike Box,Tackle Bundle,MONSTERBASS,552.0,23,24.0,22,24.00,34,ACTIVE
545,MB-SHIRT-RR-BLKH-L,Epic Eric's River Rat Tee - L,Shirts,MONSTERBASS,550.0,32,17.19,19,20.00,33,ACTIVE
546,MB-SS99-GBLACK,Slick Stick 99 - old packaging - Ghost Pro Black,Jerkbaits,MONSTERBASS,543.41,65,8.36,19,7.00,0,ARCHIVED
547,VF-BEAVER-01-06,Angry Beaver - Talapia,Craws & Creatures,Vicious Fishing,543.27,226,2.4,77,1.49,0,ACTIVE
548,BURNERD-38-3,Blade Burner | Double Willow Spinnerbait - 3/8oz / Morning Dawn,Spinnerbaits,MONSTERBASS,542.0,65,8.34,34,8.00,12,ACTIVE
549,BMB-DS-4,Donkey Snacks - Black,Frogs,Bucketmouth Brand,541.65,66,8.21,61,7.00,0,ACTIVE
550,S6-43,Seeker 6 - Orange Julius,Crankbaits,MONSTERBASS,541.42,56,9.67,35,10.00,123,ACTIVE
551,MB-GCARD-20,Gift Cards - $20 Gift Card,Gift Card,MONSTERBASS,540.0,27,20.0,27,20.00,9944,ACTIVE
552,MB-NEDEWG-GREENP-18,Sabertooth EWG Ned Heads - 1/8oz / Green Pumpkin,Jigs,MONSTERBASS,536.27,163,3.29,64,3.29,0,ARCHIVED
553,sticker-dead2,Deadliest Catch Part 2,Stickers,MONSTERBASS,536.0,268,2.0,13,2.00,0,ARCHIVED
554,BEET03,Battle Beetle - Timber,Craws & Creatures,Lunkerhunt,535.47,54,9.92,53,9.99,0,ARCHIVED
555,VF-JERK100-SEXY,Herky Jerky - Sexy,Jerkbaits,Vicious Fishing,534.45,60,8.91,57,8.99,0,ACTIVE
556,SSPOP-10022,SteelShad Topwater Popper - Green,Topwater,SteelShad,531.0,59,9.0,59,9.00,0,ARCHIVED
557,KF-FREAK-PWHITE,KCL Freak 1.5 Squarebill - Pearl White,Squarebill,Kingfisher Custom Lures,528.13,96,5.5,88,8.00,1001,ACTIVE
558,I62-35,Incision 62 Lipless Crankbait - Ghost Shad,Lipless Crankbait,MONSTERBASS,528.0,66,8.0,57,8.00,0,ACTIVE
559,CBSB38-05,Jack Hammer Stealth Blade - Spot Remover / 3/8oz,Bladed Jigs,Z-Man Fishing Products,527.91,33,16.0,16,15.99,72,ACTIVE
560,Sticker-Coors,Coors Sticker,Stickers,MONSTERBASS,526.0,263,2.0,12,2.00,8,ACTIVE
561,MB-MCRANK-8-CRAWLIC,Seeker 8 - Crawlicious,Crankbaits,MONSTERBASS,524.21,60,8.74,20,8.99,0,ARCHIVED
562,SS3PACK-10195,Pro Series - 3 Pack - Green Bass Pack,Tackle Bundle,SteelShad,523.81,31,16.9,31,19.99,0,ARCHIVED
563,BB-70,Vibemaster Blade Bait - Purple Haze,Blade Baits & Spoons,MONSTERBASS,520.0,65,8.0,39,8.00,0,ACTIVE
564,FACESHIELD-M,UPF 50+ Face Shield,UV Protection,MONSTERBASS,520.0,52,10.0,9,10.00,0,DRAFT
565,I62-70,Incision 62 Lipless Crankbait - Purple Haze,Lipless Crankbait,MONSTERBASS,520.0,65,8.0,59,8.00,0,ACTIVE
566,GP-PROTECT-5,Guaranteed Shipping Protection - Level 5,Protection,MONSTERBASS,517.44,66,7.84,66,7.84,-70,ACTIVE
567,MB-LL68-GBLUE,Incision 69 Lipless - Ghost Blue,Lipless Crankbait,MONSTERBASS,516.6,60,8.61,11,8.99,0,ARCHIVED
568,BURNERD-38-1,Blade Burner | Double Willow Spinnerbait - 3/8oz / Chad Spawn,Spinnerbaits,MONSTERBASS,515.0,61,8.44,40,8.00,34,ACTIVE
569,INCISION-23,Incision 69mm Lipless Crankbait - Crawlicious,Lipless Crankbait,MONSTERBASS,514.75,59,8.72,46,8.00,159,ACTIVE
570,TCVSJ12-453,Strike King Thunder Cricket - 1/2 oz / Olive Shad,Bladed Jigs,Strike King,514.62,38,13.54,30,13.99,72,ACTIVE
571,MB-SHIRT-RR-BLKH-XL,Epic Eric's River Rat Tee - XL,Shirts,MONSTERBASS,514.0,28,18.36,14,20.00,26,ACTIVE
572,REYE38CW-3,Red Eye Special Spinnerbait,Spinnerbaits,Strike King,510.27,73,6.99,63,6.99,0,DRAFT
573,MB-WINDB-CLASSIC-L-BLKCAMO,Lightweight Water Resistant Jacket - L / Black Camo,Hoodies & Outerwear,MONSTERBASS,510.0,17,30.0,16,30.00,0,ARCHIVED
574,1630-270,"6.5"" Airtail Wiggler - Black Blue Flake",Worms,GRANDEBASS,509.77,73,6.98,8,6.99,651,ACTIVE
575,VF-BEAVER-06-06,Angry Beaver - Green Pumpkin Blue Swirl,Craws & Creatures,Vicious Fishing,509.3,219,2.33,105,1.49,0,ACTIVE
576,MB-MCRANK-46-CMONSTER,Seeker 6 v1.0 - Craw Monster,Crankbaits,,508.0,67,7.58,21,,,
577,112-BLK-SUN,Rise & Shine Hat - Black,Hats,MONSTERBASS,506.0,23,22.0,23,25.00,22,ACTIVE
578,SB-17,SquareBanger - Citrus Shad,Squarebill,MONSTERBASS,505.74,60,8.43,41,8.00,112,ACTIVE
579,TMM-63,Money Maker - Threadfin Shad,Crankbaits,MONSTERBASS,504.0,56,9.0,28,9.00,31,ACTIVE
580,TS115-12,Ark Topwater Slider - Black Blue,Topwater,Ark Fishing,503.89,56,9.0,56,8.99,0,ARCHIVED
581,FJ1,Hendrix Fishing Voodoo Frog - Black,Frogs,Hendrix Fishing,503.7,46,10.95,20,7.00,0,ACTIVE
582,sku-50188769788201,Wild Game Processors – 6-Piece Damascus Steel Knife Set with Buffalo Horn Handles - Buffalo horn handle Set,Damascus Knife,KBS Knives Store,500.0,2,250.0,2,250.00,2,ACTIVE
583,KFK-SUPER-FBM,"MONSTERBASS Kids Fishing Gear Set - Lure Making Kit for Beginners, Includes Bait Bag, Lure Blanks to Paint, Paint Kit & Brushes, Guidebook & Stickers - Creative Fishing Gear for Kids",Subscription Box,MONSTERBASS,499.5,10,49.95,9,49.95,10,DRAFT
584,BB-55,Vibemaster Blade Bait - Silver Craw,Blade Baits & Spoons,MONSTERBASS,496.0,62,8.0,36,8.00,86,ACTIVE
585,1630-222,"6.5"" Airtail Wiggler - June Bug",Worms,GRANDEBASS,495.79,71,6.98,6,6.99,263,ACTIVE
586,GRND3-KSG,"Grenade 2.75"" - Kissimmee Gill",Baits,"ThunderHawk, Inc",494.96,141,3.51,131,6.00,0,ARCHIVED
587,799787440252,Loaded Dice - Green Pumpkin,Finesse Baits,3 Brothers Baits,493.62,38,12.99,24,12.99,0,ACTIVE
588,10067/15,Googan Squad Flouro Carbon Line - 15 lb,Fluorocarbon,Googan Baits,492.7,30,16.42,29,16.99,36,ACTIVE
589,TP70-16,Ark Topwater Popper - Sexy Shad,Popper,Ark Fishing,492.46,55,8.95,54,8.99,0,ACTIVE
590,SS4500-GM-DEW-L,"Limited Edition MB Hoodie (L, XL, 3X) - L",Hoodies & Outerwear,MONSTERBASS,490.0,13,37.69,13,30.00,0,ARCHIVED
591,PATRIOT-30,The Patriot v3.0 - Ghost Blue,Walking Baits,MONSTERBASS,488.81,47,10.4,27,10.00,0,ACTIVE
592,MB-TFW-38-B,Tungsten Flipping Weights - 3/8oz - 1 pack,Tungsten,MONSTERBASS,485.5,195,2.49,56,2.50,0,ARCHIVED
593,BURNERD-12-2,Blade Burner | Double Willow Spinnerbait - 1/2oz / Chartreuse/White,Spinnerbaits,MONSTERBASS,485.2,58,8.37,28,8.00,29,ACTIVE
594,BURNERD-38-4,Blade Burner | Double Willow Spinnerbait - 3/8oz / Oneida Perch,Spinnerbaits,MONSTERBASS,485.0,58,8.36,38,8.00,0,ACTIVE
595,MB-TFJ-38-GPB,Tungsten Football Jig - Green Pumpkin & Black,Football Jigs,MONSTERBASS,484.8,82,5.91,51,6.00,166,ACTIVE
596,GB-58,GRASSBURNER - Sleepover,Buzzbaits,MONSTERBASS,480.6,27,17.8,18,18.00,107,ACTIVE
597,S-474F,"LUNKERSTICK Pro Series - Spinning: 7'4"" Medium - Fast",Fishing Rod,MONSTERBASS,479.85,3,159.95,3,159.95,-3,ACTIVE
598,IMSBL03,Impact Shock 2F - Shock Yellow,Crankbaits,Lunkerhunt,476.0,68,7.0,2,7.00,0,ARCHIVED
599,LL-34,Walking Boss II Magnum - MagJuvenile Pike,Walking Baits,Livingston Lures,474.78,22,21.58,21,32.99,0,ARCHIVED
600,S6-10,Seeker 6 - Bluegill,Crankbaits,MONSTERBASS,474.41,57,8.32,43,8.00,123,ACTIVE
601,SS4500-GM-DEW-3X,"Limited Edition MB Hoodie (L, XL, 3X) - 3X",Hoodies & Outerwear,MONSTERBASS,474.0,13,36.46,13,30.00,0,ARCHIVED
602,BB-7,Vibemaster Blade Bait - Blue Chrome,Blade Baits & Spoons,MONSTERBASS,472.0,59,8.0,42,8.00,0,ACTIVE
603,ICBM120/09,River2Sea ICBM Glide Bait - Perch,Swimbaits,River2Sea,471.41,59,7.99,29,7.99,0,ARCHIVED
604,HBRH05,Reckless Roach - Charcoal,Craws & Creatures,Lunkerhunt,470.0,47,10.0,32,10.00,0,ARCHIVED
605,MONSTERS-344-XL,MONSTERS Tee - XL,Apparel,MONSTERBASS,468.0,41,11.41,38,7.50,0,ARCHIVED
606,JJ-PW,December's Mystery Soft Plastics,Unclassified,Castaic,464.96,154,3.02,137,7.49,0,ARCHIVED
607,R1175-UVC,Hardcore Noi-Z Jr - UV Citrus,Walking Baits,Yo-Zuri,463.75,46,10.08,37,10.99,67,ACTIVE
608,lp-iabm,I'm a Bass Man License Plate Frame,Accessories,MONSTERBASS,463.47,53,8.74,50,9.99,8,ACTIVE
609,S6-20,Seeker 6 - Cracked,Crankbaits,MONSTERBASS,462.45,56,8.26,35,8.00,123,ACTIVE
610,MB-HWORM-PB,The Dirk Wiggler - Smuckers,Worms,MONSTERBASS,461.16,84,5.49,20,5.49,0,ARCHIVED
611,MB-SS99-GSEXY,Slick Stick 99 - old packaging - Ghost Sexy,Jerkbaits,MONSTERBASS,460.98,55,8.38,10,7.00,0,ARCHIVED
612,1105-01,5mm Glass Rattles,Accessories,GRANDEBASS,458.04,96,4.77,21,3.99,3592,ACTIVE
613,GUIDEPROTECTION-2,Guide Package Protection - $1.96,Shipping Protection,Guide,456.68,233,1.96,233,1.96,-231,ARCHIVED
614,mb-subscription-psw-alt,Platinum: West: Every Other Month,Subscription Box,MONSTERBASS,456.0,12,38.0,12,35.00,0,ARCHIVED
615,BURNERD-38-2,Blade Burner | Double Willow Spinnerbait - 3/8oz / Chartreuse/White,Spinnerbaits,MONSTERBASS,453.0,54,8.39,31,8.00,24,ACTIVE
616,BURNERD-12-5,Blade Burner | Double Willow Spinnerbait - 1/2oz / Sexy Cracks,Spinnerbaits,MONSTERBASS,453.0,54,8.39,25,8.00,30,ACTIVE
617,MB-SS99-GBLUE,Slick Stick 99 - old packaging - Ghost Pro Blue,Jerkbaits,MONSTERBASS,450.96,53,8.51,6,7.00,0,ARCHIVED
618,MB-GCARD-150,Gift Cards - $150 Gift Card,Gift Card,MONSTERBASS,450.0,3,150.0,3,150.00,9992,ACTIVE
619,IMPOP03,Impact Crush - Patriot,Topwater,Lunkerhunt,448.0,64,7.0,5,7.00,0,ARCHIVED
620,CBWV38-03PK2,Chatterbait Willow Vibe - Shiner,Bladed Jigs,Z-Man Fishing Products,447.93,72,6.22,44,5.99,0,ACTIVE
621,VF-CRANK4-SHAD,MC65 Series 4 - Green Sexy,Crankbaits,Vicious Fishing,447.52,50,8.95,47,8.99,8,ACTIVE
622,MB-TTDRC-18-4,Tungsten Drop Shot Weights - Casting / 1/8 oz - 4 pack,Tungsten,MONSTERBASS,447.0,90,4.97,54,5.00,0,ACTIVE
623,BIGGS10004D,Googan Squad Flat Banger - 1/2oz 2.5'',Baits,Googan Baits,446.0,58,7.69,18,6.00,0,ARCHIVED
624,KF-FREAK-SEXY,KCL Freak 1.5 Squarebill - Sexy Shad,Squarebill,Kingfisher Custom Lures,444.91,53,8.39,48,8.00,101,ACTIVE
625,MB-RS-TH,The Flutter Worm - Trophy Killer,,,443.82,78,5.69,8,,,
626,GP-PROTECT-3,Guaranteed Shipping Protection - Level 3,Protection,MONSTERBASS,442.96,113,3.92,113,3.92,-168,ACTIVE
627,TMM-56,Money Maker - Silver Shiner,Crankbaits,MONSTERBASS,441.0,49,9.0,27,9.00,45,ACTIVE
628,GT375-320PK4,Goat - The Deal,Craws & Creatures,Z-Man Fishing Products,440.0,80,5.5,71,5.50,20,ACTIVE
629,sku-46036050084096,"Buckaroo Belt Knife – 8"" Handmade Rasp Steel Blade with Epoxy Pine Cone Handle & Western Leather Sheath",cowboy belt knives,Texan Knives,440.0,4,110.0,4,110.00,0,ARCHIVED
630,VF-CRANK4-GSHAD,MC65 Series 4 - Ghost Shad,Crankbaits,Vicious Fishing,438.53,49,8.95,47,8.99,0,ACTIVE
631,S12-25,Seeker 12 - Creeper Reaper,Crankbaits,MONSTERBASS,435.88,53,8.22,49,8.00,127,ACTIVE
632,gold-0424-new,Fishing From The Dock Bundle 424,Subscription Box,MONSTERBASS,435.0,15,29.0,14,29.00,0,ARCHIVED
633,MB-MCRANK-8-BONE,Seeker 8 - Bone,Crankbaits,MONSTERBASS,434.31,50,8.69,10,8.99,0,ARCHIVED
