,Distribution account,Transaction date,Transaction type,Num,Name,Memo/Description,Split account,Amount,Balance
OLD Outlet Bait Checking (9167),,,,,,,,,
,Beginning Balance,,,,,,,,0
Total for OLD Outlet Bait Checking (9167),,,,,,,,,
Outdoor INC Checking (1203),,,,,,,,,
,Beginning Balance,,,,,,,,151391.31
,Outdoor INC Checking (1203),01/01/2024,Check,0632,Maximus Outdoors,,Maximus Outdoors Loan,-16000,135391.31
,Outdoor INC Checking (1203),01/01/2024,Check,0668,Maximus Outdoors,,Maximus Outdoors Loan,-10000,125391.31
,Outdoor INC Checking (1203),01/01/2024,Bill Payment (Check),0676,B8Lab,Voided,Accounts Payable (A/P),0,125391.31
,Outdoor INC Checking (1203),01/01/2024,Bill Payment (Check),0684,David Vance McCullough,,Accounts Payable (A/P),-1000,124391.31
,Outdoor INC Checking (1203),01/01/2024,Check,0690,Sarah Bennage Morton,11/11/2023 – 11/30/2023,Sarah Bennage,-140,124251.31
,Outdoor INC Checking (1203),01/01/2024,Bill Payment (Check),0692,Paul Glass,,Accounts Payable (A/P),-625,123626.31
,Outdoor INC Checking (1203),01/01/2024,Bill Payment (Check),ACH,Eagle Warehouse & Distribution Center Inc,,Accounts Payable (A/P),-2436,121190.31
,Outdoor INC Checking (1203),01/01/2024,Bill Payment (Check),ACH,Eagle Warehouse & Distribution Center Inc,,Accounts Payable (A/P),-2657.43,118532.88
,Outdoor INC Checking (1203),01/01/2024,Expense,,Rochelle Johansen Mitchell,,Visa0270,-7752.62,110780.26000000001
,Outdoor INC Checking (1203),02/01/2024,Check,0633,Maximus Outdoors,,Maximus Outdoors Loan,-16000,94780.26000000001
,Outdoor INC Checking (1203),02/01/2024,Check,0669,Maximus Outdoors,,Maximus Outdoors Loan,-10000,84780.26000000001
,Outdoor INC Checking (1203),03/01/2024,Check,0634,Maximus Outdoors,,Maximus Outdoors Loan,-16000,68780.26000000001
,Outdoor INC Checking (1203),04/01/2024,Check,0635,Maximus Outdoors,,Maximus Outdoors Loan,-16000,52780.26000000001
Total for Outdoor INC Checking (1203),,,,,,,,-98611.05,
Outdoor INC Savings (7944),,,,,,,,,
,Beginning Balance,,,,,,,,25746.04
Total for Outdoor INC Savings (7944),,,,,,,,,
Outdoor LLC Checking (0860),,,,,,,,,
,Beginning Balance,,,,,,,,0
Total for Outdoor LLC Checking (0860),,,,,,,,,
Outdoor LLC Savings (8971),,,,,,,,,
,Beginning Balance,,,,,,,,0
Total for Outdoor LLC Savings (8971),,,,,,,,,
Outdoor Playground Checking (0860) (deleted),,,,,,,,,
,Beginning Balance,,,,,,,,0
Total for Outdoor Playground Checking (0860) (deleted),,,,,,,,,
Outdoor Playground Checking (6370) (deleted),,,,,,,,,
,Beginning Balance,,,,,,,,0
Total for Outdoor Playground Checking (6370) (deleted),,,,,,,,,
Outlet Bait Checking (7065),,,,,,,,,
,Beginning Balance,,,,,,,,22262.7
Total for Outlet Bait Checking (7065),,,,,,,,,
PayPal Bank,,,,,,,,,
,Beginning Balance,,,,,,,,0
Total for PayPal Bank,,,,,,,,,
QuickBooks Checking Account,,,,,,,,,
,QuickBooks Checking Account,01/25/2024,Bill Payment (Check),1,Shenzhen YSLC Technology Co,,Accounts Payable (A/P),-4241.18,-4241.18
Total for QuickBooks Checking Account,,,,,,,,-4241.18,
Accounts Receivable (A/R),,,,,,,,,
,Beginning Balance,,,,,,,,-1700
Total for Accounts Receivable (A/R),,,,,,,,,
Allowance for Doubtful Account,,,,,,,,,
,Beginning Balance,,,,,,,,0
Total for Allowance for Doubtful Account,,,,,,,,,
Deposit-Purchase Order,,,,,,,,,
,Beginning Balance,,,,,,,,24156.94
,Deposit-Purchase Order,01/30/2024,Bill,1936,Recertop Tech Co Limited,,Accounts Payable (A/P),-9462,14694.939999999999
,Deposit-Purchase Order,06/05/2024,Bill,2003,Major League Fishing,,Accounts Payable (A/P),-843.25,13851.689999999999
,Deposit-Purchase Order,06/13/2024,Bill,2009,Bruiser Baits,,Accounts Payable (A/P),-1536.25,12315.439999999999
,Deposit-Purchase Order,07/21/2025,Bill,2075,Leichi China something,,Accounts Payable (A/P),1850,14165.439999999999
Total for Deposit-Purchase Order,,,,,,,,-9991.5,
Inventory Asset,,,,,,,,,
,Beginning Balance,,,,,,,,519719.61
,Inventory Asset,01/01/2024,Inventory Starting Value,START,,TUF50T500 - Opening inventory and value,Opening Balance Equity,0,519719.61
,Inventory Asset,01/01/2024,Inventory Starting Value,START,,TUF50T502 - Opening inventory and value,Opening Balance Equity,0,519719.61
,Inventory Asset,01/01/2024,Inventory Starting Value,START,,SF-DW-GG-LE - Opening inventory and value,Opening Balance Equity,0,519719.61
,Inventory Asset,01/01/2024,Inventory Starting Value,START,,LB-TSC - Opening inventory and value,Opening Balance Equity,0,519719.61
,Inventory Asset,01/08/2024,Bill,1905,Weihai Runten Industrial Limited,Dirty Dancer - Bone   TOPWATER  UPC 675162131789,Accounts Payable (A/P),190,519909.61
,Inventory Asset,01/08/2024,Bill,1905,Weihai Runten Industrial Limited,Dirty Dancer - Silver Shiner   TOPWATER  UPC 675162131796,Accounts Payable (A/P),190,520099.61
,Inventory Asset,01/08/2024,Bill,1905,Weihai Runten Industrial Limited,Dirty Dancer - Sexy Shad  TOPWATER  UPC 675162131802,Accounts Payable (A/P),190,520289.61
,Inventory Asset,01/08/2024,Bill,1905,Weihai Runten Industrial Limited,Dirty Dancer - Baby Bass   TOPWATER  UPC 675162131819,Accounts Payable (A/P),190,520479.61
,Inventory Asset,01/08/2024,Bill,1905,Weihai Runten Industrial Limited,Dirty Dancer - Golden Child   TOPWATER  UPC 675162131826,Accounts Payable (A/P),190,520669.61
,Inventory Asset,01/08/2024,Bill,1952,Coastal Sports Distributors LLC,Custom Speed Stick 7'2-1 Crankbait Rod 1 Casting Rod,Accounts Payable (A/P),560,521229.61
,Inventory Asset,01/08/2024,Bill,1952,Coastal Sports Distributors LLC,Custom Speed Stick 7' -1 Magnum Bass Rod 1 Casting Rod,Accounts Payable (A/P),336,521565.61
,Inventory Asset,01/08/2024,Bill,1952,Coastal Sports Distributors LLC,Custom Speed Stick 7'-1 Worm Rod 1 Casting Rod,Accounts Payable (A/P),252,521817.61
,Inventory Asset,01/08/2024,Bill,1952,Coastal Sports Distributors LLC,Custom Lite 7' Med Fast Casting Rod HM85 All Purpose,Accounts Payable (A/P),560,522377.61
,Inventory Asset,01/08/2024,Bill,1952,Coastal Sports Distributors LLC,Custom Lite 6'10'' Med Light Xtra Fast Spinning Rod HM85 Drop Shot Special,Accounts Payable (A/P),600,522977.61
,Inventory Asset,01/08/2024,Bill,1952,Coastal Sports Distributors LLC,Custom Lite 7' Med Hvy Fast Casting Rod HM85 Magnum Bass,Accounts Payable (A/P),600,523577.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Dive Master 8 - AYU  UPC 848927061199,Accounts Payable (A/P),372,523949.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,FlatMaster - Citrus Sparkle  UPC 848927030546,Accounts Payable (A/P),423,524372.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,FlatMaster - Orange Crackle  UPC 848927029427,Accounts Payable (A/P),654,525026.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,FlatMaster - Tennessee Shad  UPC 848927030089,Accounts Payable (A/P),312,525338.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,FlatMaster - Chartreuse Splatter Shad  UPC 848927029120,Accounts Payable (A/P),783,526121.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Howeller DMC Sq - Chartreuse Sunrise Shad  UPC 848927013136,Accounts Payable (A/P),246,526367.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,JerkMaster 121 - Black Back Chrome Shad  UPC 848927015055,Accounts Payable (A/P),735,527102.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,JerkMaster 121 - Brown Hitch  UPC 848927015628,Accounts Payable (A/P),87,527189.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,DiveMaster Jr. - Black Back Chrome Shad  UPC 848927002055,Accounts Payable (A/P),1650,528839.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Howeller DMC Plus  UPC 848927010500,Accounts Payable (A/P),426,529265.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,JerkMaster 121 - Gold Digger  UPC 848927015734,Accounts Payable (A/P),597,529862.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Pro Ripper - Threadfin Shad  UPC 848927001232,Accounts Payable (A/P),222,530084.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,School Master - Black Back Chrome Shad  UPC 848927025054,Accounts Payable (A/P),270,530354.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Walk N Pop 77 - Money Clown  UPC 848927016649,Accounts Payable (A/P),426,530780.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Primetyme CB1.5 - Chartreuse Splatter Shad  UPC 848927039129,Accounts Payable (A/P),291,531071.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Primetyme CB1.5 - Spring Craw  UPC 848927011507,Accounts Payable (A/P),468,531539.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Primetyme CB1.5 - True Bream  UPC 848927011354,Accounts Payable (A/P),267,531806.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Primetyme CB1.5 - XXX Shad  UPC 848927011330,Accounts Payable (A/P),495,532301.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Pro Ripper - Blue Pearl  UPC 848927001171,Accounts Payable (A/P),351,532652.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,School Master - Blue Back Chrome Shad  UPC 848927025078,Accounts Payable (A/P),282,532934.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,School Master - Bone Cracker  UPC 848927025948,Accounts Payable (A/P),435,533369.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,School Master - Brown Craw  UPC 848927062424,Accounts Payable (A/P),372,533741.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,School Master - Gold shad  UPC 848927025726,Accounts Payable (A/P),294,534035.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,School Master - Mad Dog  UPC 848927025160,Accounts Payable (A/P),381,534416.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,School Master - Purple C Shad  UPC 848927025221,Accounts Payable (A/P),246,534662.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Primetyme CB 2.0 - River Bream Gill  UPC 848927012092,Accounts Payable (A/P),276,534938.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Jerkmaster 121 - Pro Green  UPC 848927015260,Accounts Payable (A/P),216,535154.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Walk N Pop 77 - Brown Hitch  UPC 848927016625,Accounts Payable (A/P),324,535478.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Walk N Pop 77 - Goby  UPC 848927016984,Accounts Payable (A/P),546,536024.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Walk N Pop 77 - Gold Digger  UPC 848927016731,Accounts Payable (A/P),423,536447.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Walk N Pop 77 - Red Rum  UPC 848927016854,Accounts Payable (A/P),306,536753.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Walking Boss - Brown Hitch  UPC 848927017622,Accounts Payable (A/P),363,537116.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Walking Boss II - MagJuvenile Pike  UPC 848927077886,Accounts Payable (A/P),282,537398.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Walking Boss II - Money Gill  UPC 848927018360,Accounts Payable (A/P),393,537791.61
,Inventory Asset,01/09/2024,Bill,1946,Livingston Lures,Walking Boss (Team Series) - Bone Shad  UPC 848927017240,Accounts Payable (A/P),408,538199.61
,Inventory Asset,01/09/2024,Bill,1950,ATS Printing,Stars & Stripes - Heather Grey,Accounts Payable (A/P),360,538559.61
,Inventory Asset,01/09/2024,Bill,1950,ATS Printing,Stars & Stripes - Navy,Accounts Payable (A/P),450,539009.61
,Inventory Asset,01/09/2024,Bill,1950,ATS Printing,Stars & Stripes - Camo,Accounts Payable (A/P),358.75,539368.36
,Inventory Asset,01/24/2024,Bill,1939,Weihai Runten Industrial Limited,SquareBanger - Creamsicle  UPC 810103811324,Accounts Payable (A/P),2730,542098.36
,Inventory Asset,01/24/2024,Bill,1939,Weihai Runten Industrial Limited,SquareBanger - Magic Shad  UPC 810103811331,Accounts Payable (A/P),2730,544828.36
,Inventory Asset,01/24/2024,Bill,1939,Weihai Runten Industrial Limited,SquareBanger- Candy Apple Craw  UPC 810103811348,Accounts Payable (A/P),163.8,544992.16
,Inventory Asset,01/24/2024,Bill,1939,Weihai Runten Industrial Limited,SquareBanger- Blue Craw   UPC 810103811355,Accounts Payable (A/P),163.8,545155.9600000001
,Inventory Asset,01/24/2024,Bill,1939,Weihai Runten Industrial Limited,SquareBanger- Crawlicious   UPC 810103811362,Accounts Payable (A/P),163.8,545319.7600000001
,Inventory Asset,01/24/2024,Bill,1939,Weihai Runten Industrial Limited,SquareBanger - Citrus Shad   UPC 810103811379,Accounts Payable (A/P),163.8,545483.5600000002
,Inventory Asset,01/24/2024,Bill,1939,Weihai Runten Industrial Limited,SquareBanger - Ghost Shad  UPC 810103811386,Accounts Payable (A/P),163.8,545647.3600000002
,Inventory Asset,01/24/2024,Bill,1939,Weihai Runten Industrial Limited,SquareBanger- Bluegill  UPC 810103811393,Accounts Payable (A/P),163.8,545811.1600000003
,Inventory Asset,01/24/2024,Bill,1939,Weihai Runten Industrial Limited,SquareBanger - Sexy Cracks   UPC 810103811409,Accounts Payable (A/P),163.8,545974.9600000003
,Inventory Asset,01/24/2024,Bill,1939,Weihai Runten Industrial Limited,SquareBanger - Chartreuse Black Back   UPC 810103811416,Accounts Payable (A/P),163.8,546138.7600000004
,Inventory Asset,01/24/2024,Bill,1966,"Heyuan Boyue Color Printing Co.,Ltd",Limited Edition MONSTER/BASS Sticker,Accounts Payable (A/P),254,546392.7600000004
,Inventory Asset,01/24/2024,Bill,1966,"Heyuan Boyue Color Printing Co.,Ltd",M Sticker,Accounts Payable (A/P),254,546646.7600000004
,Inventory Asset,01/24/2024,Bill,1966,"Heyuan Boyue Color Printing Co.,Ltd",MB Snagglefish Stickers,Accounts Payable (A/P),290.4,546937.1600000004
,Inventory Asset,01/24/2024,Bill,1903,Weihai Runten Industrial Limited,Mad Max - Feeder Gill TOPWATER UPC 810103810136,Accounts Payable (A/P),216,547153.1600000004
,Inventory Asset,01/24/2024,Bill,1903,Weihai Runten Industrial Limited,Mad Max - Midnight Run TOPWATER UPC 810103810112,Accounts Payable (A/P),216,547369.1600000004
,Inventory Asset,01/24/2024,Bill,1903,Weihai Runten Industrial Limited,Mad Max - Green Sexy TOPWATER UPC 810103810105,Accounts Payable (A/P),216,547585.1600000004
,Inventory Asset,01/24/2024,Bill,1903,Weihai Runten Industrial Limited,Mad Max - Sexy Cracks TOPWATER UPC 810103810099,Accounts Payable (A/P),216,547801.1600000004
,Inventory Asset,01/24/2024,Bill,1903,Weihai Runten Industrial Limited,Mad Max - Bone TOPWATER UPC 810103810082,Accounts Payable (A/P),216,548017.1600000004
,Inventory Asset,01/24/2024,Bill,1903,Weihai Runten Industrial Limited,Mad Max - Chrome TOPWATER UPC 810103810761,Accounts Payable (A/P),216,548233.1600000004
,Inventory Asset,01/24/2024,Bill,1903,Weihai Runten Industrial Limited,Mad Max - Money Gill TOPWATER UPC 810103810129,Accounts Payable (A/P),216,548449.1600000004
,Inventory Asset,01/24/2024,Bill,1903,Weihai Runten Industrial Limited,Mad Max - Blue Chrome TOPWATER UPC810103810778,Accounts Payable (A/P),216,548665.1600000004
,Inventory Asset,01/24/2024,Bill,1906,Weihai Runten Industrial Limited,Slick Stick 99 Suspending - Bluegill  JERKBAIT  UPC 810103810785,Accounts Payable (A/P),235.2,548900.3600000003
,Inventory Asset,01/24/2024,Bill,1906,Weihai Runten Industrial Limited,Slick Stick 99 Suspending - Oneida Perch  JERKBAIT  UPC 810103810792,Accounts Payable (A/P),235.2,549135.5600000003
,Inventory Asset,01/24/2024,Bill,1906,Weihai Runten Industrial Limited,Slick Stick 99 Suspending - Wakasagi   JERKBAIT  UPC 810103810808,Accounts Payable (A/P),235.2,549370.7600000002
,Inventory Asset,01/24/2024,Bill,1906,Weihai Runten Industrial Limited,Slick Stick 99 Suspending - Purple Haze  JERKBAIT  UPC 810103810815,Accounts Payable (A/P),235.2,549605.9600000002
,Inventory Asset,01/24/2024,Bill,1906,Weihai Runten Industrial Limited,Slick Stick 99 Suspending - Ghost Shad   JERKBAIT  UPC 810103810822,Accounts Payable (A/P),235.2,549841.1600000001
,Inventory Asset,01/24/2024,Bill,1906,Weihai Runten Industrial Limited,Slick Stick 99 Suspending - Ghost Pro Blue   JERKBAIT  UPC 810103810853,Accounts Payable (A/P),235.2,550076.3600000001
,Inventory Asset,01/24/2024,Bill,1906,Weihai Runten Industrial Limited,Slick Stick 99 Suspending - Jade Shad   JERKBAIT  UPC 810103810839,Accounts Payable (A/P),235.2,550311.56
,Inventory Asset,01/24/2024,Bill,1906,Weihai Runten Industrial Limited,Slick Stick 99 Suspending – Orange JuliusJERKBAIT UPC 810103810846,Accounts Payable (A/P),235.2,550546.76
,Inventory Asset,01/24/2024,Bill,1920,Weihai Runten Industrial Limited,Ragnar - Sleepover  Topwater  UPC 810103810945,Accounts Payable (A/P),228,550774.76
,Inventory Asset,01/24/2024,Bill,1920,Weihai Runten Industrial Limited,Ragnar - Bone   Topwater  UPC 810103810952,Accounts Payable (A/P),228,551002.76
,Inventory Asset,01/24/2024,Bill,1920,Weihai Runten Industrial Limited,Ragnar - Cylon   Topwater  UPC 810103810969,Accounts Payable (A/P),228,551230.76
,Inventory Asset,01/24/2024,Bill,1920,Weihai Runten Industrial Limited,Ragnar - Ghost Sexy   Topwater   UPC 810103810976,Accounts Payable (A/P),228,551458.76
,Inventory Asset,01/24/2024,Bill,1920,Weihai Runten Industrial Limited,Ragnar - Silver Shiner   Topwater  UPC 810103810983,Accounts Payable (A/P),228,551686.76
,Inventory Asset,01/24/2024,Bill,1920,Weihai Runten Industrial Limited,Ragnar - Chrome   Topwater  UPC 810103810990,Accounts Payable (A/P),228,551914.76
,Inventory Asset,01/24/2024,Bill,1920,Weihai Runten Industrial Limited,Ragnar - Ghost Shad   Topwater   UPC 810103811119,Accounts Payable (A/P),228,552142.76
,Inventory Asset,01/24/2024,Bill,1920,Weihai Runten Industrial Limited,Ragnar – Purple Haze Topwater UPC810103811003,Accounts Payable (A/P),228,552370.76
,Inventory Asset,01/24/2024,Bill,1920,Weihai Runten Industrial Limited,Ragnar – Orange Julius TopwaterUPC: 810103811126,Accounts Payable (A/P),228,552598.76
,Inventory Asset,01/24/2024,Bill,1921,Weihai Runten Industrial Limited,Incision Lipless Crankbait Blue Chrome   Lipless Crankbait UPC 810103810143,Accounts Payable (A/P),216,552814.76
,Inventory Asset,01/24/2024,Bill,1921,Weihai Runten Industrial Limited,Incision Lipless Crankbait Green Gill   Lipless Crankbait   UPC 810103810150,Accounts Payable (A/P),216,553030.76
,Inventory Asset,01/24/2024,Bill,1921,Weihai Runten Industrial Limited,Incision Lipless Crankbait Craw Monster   Lipless Crankbait  UPC 810103810167,Accounts Payable (A/P),216,553246.76
,Inventory Asset,01/24/2024,Bill,1921,Weihai Runten Industrial Limited,Incision Lipless Crankbait Crawlicious    Lipless Crankbait   UPC 810103810174,Accounts Payable (A/P),216,553462.76
,Inventory Asset,01/24/2024,Bill,1921,Weihai Runten Industrial Limited,Incision Lipless Crankbait Ghost Blue   Lipless Crankbait   UPC 810103810181,Accounts Payable (A/P),216,553678.76
,Inventory Asset,01/24/2024,Bill,1921,Weihai Runten Industrial Limited,Incision Lipless Crankbait Ghost Shad   Lipless Crankbait   UPC 810103810198,Accounts Payable (A/P),216,553894.76
,Inventory Asset,01/24/2024,Bill,1943,Weihai Runten Industrial Limited,Patriot - CrackedUPC 810103810648,Accounts Payable (A/P),235.2,554129.96
,Inventory Asset,01/24/2024,Bill,1943,Weihai Runten Industrial Limited,Patriot - Ghost BlueUPC 810103810655,Accounts Payable (A/P),235.2,554365.1599999999
,Inventory Asset,01/24/2024,Bill,1943,Weihai Runten Industrial Limited,Patriot - Ghost ShadUPC 810103810662,Accounts Payable (A/P),235.2,554600.3599999999
,Inventory Asset,01/24/2024,Bill,1943,Weihai Runten Industrial Limited,Patriot - Blue ChartreuseUPC 810103810679,Accounts Payable (A/P),235.2,554835.5599999998
,Inventory Asset,01/24/2024,Bill,1943,Weihai Runten Industrial Limited,Patriot - Black MambaUPC 810103810686,Accounts Payable (A/P),235.2,555070.7599999998
,Inventory Asset,01/24/2024,Bill,1943,Weihai Runten Industrial Limited,Patriot - BoneUPC 810103810693,Accounts Payable (A/P),235.2,555305.9599999997
,Inventory Asset,01/24/2024,Bill,1943,Weihai Runten Industrial Limited,Patriot - CreamsicleUPC 810103810716,Accounts Payable (A/P),235.2,555541.1599999997
,Inventory Asset,01/24/2024,Bill,1943,Weihai Runten Industrial Limited,Patriot - Gold DustUPC 810103810709,Accounts Payable (A/P),235.2,555776.3599999996
,Inventory Asset,01/26/2024,Bill,1951,A.N.E Wholesale,13 Fishing - Source K 4000  Reel,Accounts Payable (A/P),2565,558341.3599999996
,Inventory Asset,01/30/2024,Bill,1916,Weihai Runten Industrial Limited,Blade Burner - Colorado Blade - Oneida Perch  CRANKBAIT UPC 810103811058,Accounts Payable (A/P),363,558704.3599999996
,Inventory Asset,01/30/2024,Bill,1916,Weihai Runten Industrial Limited,Blade Burner - Colorado Blade - Sexy Cracks    CRANKBAIT   UPC 810103811065,Accounts Payable (A/P),363,559067.3599999996
,Inventory Asset,01/30/2024,Bill,1916,Weihai Runten Industrial Limited,Blade Burner - Colorado Blade - Chartreuse/White    CRANKBAIT   UPC 810103811072,Accounts Payable (A/P),363,559430.3599999996
,Inventory Asset,01/30/2024,Bill,1916,Weihai Runten Industrial Limited,Blade Burner - Colorado Blade - Morning Dawn   CRANKBAIT   UPC 810103811089,Accounts Payable (A/P),363,559793.3599999996
,Inventory Asset,01/30/2024,Bill,1916,Weihai Runten Industrial Limited,Blade Burner - Colorado Blade - Grape Ape    CRANKBAIT   UPC 810103811096,Accounts Payable (A/P),6050,565843.3599999996
,Inventory Asset,01/30/2024,Bill,1916,Weihai Runten Industrial Limited,Blade Burner - Colorado Blade - White/White   CRANKBAIT   UPC 810103811102,Accounts Payable (A/P),363,566206.3599999996
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Blue Chrome   UPC 810103811447,Accounts Payable (A/P),163.8,566370.1599999997
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Bluegill  UPC 810103811454,Accounts Payable (A/P),163.8,566533.9599999997
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Blue Sexy   UPC 810103811461,Accounts Payable (A/P),163.8,566697.7599999998
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Cracked   UPC 810103811478,Accounts Payable (A/P),163.8,566861.5599999998
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Candy Apple Craw  UPC 810103811485,Accounts Payable (A/P),163.8,567025.3599999999
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Blue Craw  UPC 810103811492,Accounts Payable (A/P),163.8,567189.1599999999
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Ghost Shad  UPC 810103811508,Accounts Payable (A/P),163.8,567352.96
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Snacks  UPC 810103811515,Accounts Payable (A/P),163.8,567516.76
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Orange Julius  UPC 810103811430,Accounts Payable (A/P),163.8,567680.56
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Crawlicious PACKAGINGUPC 810103811423,Accounts Payable (A/P),36,567716.56
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Charteuse Black Back PACKAGINGUPC 810103811522,Accounts Payable (A/P),36,567752.56
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Green Sexy PACKAGINGUPC 810103811539,Accounts Payable (A/P),36,567788.56
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Threadfin ShadPACKAGING UPC 810103811546,Accounts Payable (A/P),36,567824.56
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Bone PACKAGINGUPC 810103811553,Accounts Payable (A/P),36,567860.56
,Inventory Asset,01/30/2024,Bill,1942,Weihai Runten Industrial Limited,Seeker 8 - Blackout PACKAGINGUPC 810103811560,Accounts Payable (A/P),36,567896.56
,Inventory Asset,01/30/2024,Bill,1941,Weihai Runten Industrial Limited,Seeker 12 - Creeper Reaper  UPC 810103811232,Accounts Payable (A/P),163.8,568060.3600000001
,Inventory Asset,01/30/2024,Bill,1941,Weihai Runten Industrial Limited,Seeker 12 - Chartreuse Blue Back  UPC 810103811249,Accounts Payable (A/P),163.8,568224.1600000001
,Inventory Asset,01/30/2024,Bill,1941,Weihai Runten Industrial Limited,Seeker 12 - Chrome Threadfin  UPC 810103811256,Accounts Payable (A/P),163.8,568387.9600000002
,Inventory Asset,01/30/2024,Bill,1941,Weihai Runten Industrial Limited,Seeker 12 - Jade Shad  UPC 810103811263,Accounts Payable (A/P),163.8,568551.7600000002
,Inventory Asset,01/30/2024,Bill,1941,Weihai Runten Industrial Limited,Seeker 12 - Oneida Perch   UPC 810103811270,Accounts Payable (A/P),163.8,568715.5600000003
,Inventory Asset,01/30/2024,Bill,1941,Weihai Runten Industrial Limited,Seeker 12 - Citrus Shad  UPC 810103811287,Accounts Payable (A/P),163.8,568879.3600000003
,Inventory Asset,01/30/2024,Bill,1941,Weihai Runten Industrial Limited,Seeker 12 - Candy Apple Craw   UPC 810103811294,Accounts Payable (A/P),163.8,569043.1600000004
,Inventory Asset,01/30/2024,Bill,1941,Weihai Runten Industrial Limited,Seeker 12 - Orange Julius  UPC 810103811300,Accounts Payable (A/P),163.8,569206.9600000004
,Inventory Asset,01/30/2024,Bill,1940,Weihai Runten Industrial Limited,Seeker 6 - Blue Chrome  UPC 810103811133,Accounts Payable (A/P),163.8,569370.7600000005
,Inventory Asset,01/30/2024,Bill,1940,Weihai Runten Industrial Limited,Seeker 6 - Bluegill  UPC 810103811140,Accounts Payable (A/P),163.8,569534.5600000005
,Inventory Asset,01/30/2024,Bill,1940,Weihai Runten Industrial Limited,Seeker 6 - Blue Sexy  UPC 810103811157,Accounts Payable (A/P),163.8,569698.3600000006
,Inventory Asset,01/30/2024,Bill,1940,Weihai Runten Industrial Limited,Seeker 6 - Cracked  UPC 810103811164,Accounts Payable (A/P),163.8,569862.1600000006
,Inventory Asset,01/30/2024,Bill,1940,Weihai Runten Industrial Limited,Seeker 6 - Candy Apple Craw  UPC 810103811171,Accounts Payable (A/P),163.8,570025.9600000007
