Split account,sum,count,mean,pct_of_total
Shopify,2516306.83,1085,2319.176801843318,71.36789994419462
Stripe,513109.59,489,1049.3038650306748,14.552896905472663
PayPal,411394.6,301,1366.759468438538,11.66803996251203
Amazon,45559.48,71,641.6828169014085,1.292165316003826
Retail,39453.9,27,1461.2555555555557,1.1189978718168723
