Name,Distribution account,Total_Charged,Transaction_Count
Retentio,BofA VIsa 8433,12000.0,6
Retentio,Visa 0270,13000.0,5
B8Lab,Chase Visa (5176) (5184),13414.54,3
"Creating Outdoors Consulting, LLC",BofA VIsa 8433,13500.0,3
V&M,Chase Visa (5176) (5184),13865.01,4
Major League Fishing,Chase Visa (5176) (5184),13978.3,2
Livingston Lures,Chase Visa (5176) (5184),14571.0,1
"Jinhua Jiafu Trade Co., Ltd.",Amex,17694.72,2
"Creating Outdoors Consulting, LLC",Visa 0270,25200.0,6
Retentio,Chase Visa (5176) (5184),32000.0,13
Pradco Outdoors Brands,Chase Visa (5176) (5184),33759.79,5
DHL eCommerce,Amex,39863.12,2
GSM Outdoors,Chase Visa (5176) (5184),43591.52,10
Retentio,Retention,57000.0,24
"Creating Outdoors Consulting, LLC",Chase Visa (5176) (5184),68700.0,16
TrailBlaze,TrailBlaze Media,106306.19,27
TrailBlaze,Chase Visa (5176) (5184),121306.19,29
Facebook,Facebook,227064.77,179
Facebook,Brex Card Account,227964.77,180
Google,Google,244630.63,174
Google,Brex Card Account,244630.63,174
